iter	Passed	Remaining
131	5628	37010
132	5658	36887
133	5688	36766
134	5720	36650
135	5750	36535
136	5782	36426
137	5815	36323
138	5846	36212
139	5876	36098
140	5908	35996
141	5940	35891
142	5969	35773
143	6000	35668
144	6033	35579
145	6063	35465
146	6091	35349
147	6120	35233
148	6149	35121
149	6178	35012
150	6207	34899
151	6254	34891
152	6283	34787
153	6314	34689
154	6356	34650
155	6412	34692
156	6442	34593
157	6472	34491
158	6503	34398
159	6533	34300
160	6565	34212
161	6595	34117
162	6627	34031
163	6659	33948
164	6690	33858
165	6720	33765
166	6749	33667
167	6786	33607
168	6856	33715
169	6886	33623
170	6914	33523
171	6945	33434
172	6978	33360
173	7012	33290
174	7044	33210
175	7074	33123
176	7105	33037
177	7134	32945
178	7163	32858
179	7194	32773
180	7234	32736
181	7266	32661
182	7299	32590
183	7328	32501
184	7392	32567
185	7428	32510
186	7457	32420
187	7487	32338
188	7515	32248
189	7545	32168
190	7577	32095
191	7609	32021
192	7639	31943
193	7670	31868
194	7700	31790
195	7730	31712
196	7759	31628
197	7789	31549
198	7821	31483
199	7854	31416
200	7885	31346
201	7918	31281
202	7949	31212
203	7980	31140
204	8012	31074
205	8044	31007
206	8074	30932
207	8103	30853
208	8131	30775
209	8161	30703
210	8190	30628
211	8235	30609
212	8265	30538
213	8296	30471
214	8326	30400
215	8388	30446
216	8420	30383
217	8448	30304
218	8477	30231
219	8504	30151
220	8534	30082
221	8564	30013
222	8594	29947
223	8625	29881
224	8658	29823
225	8690	29762
226	8722	29701
227	8752	29636
228	8787	29586
229	8855	29645
230	8887	29587
231	8917	29520
232	8950	29462
233	8981	29400
234	9014	29345
235	9043	29276
236	9072	29209
237	9100	29136
238	9128	29064
239	9157	28999
240	9188	28939
241	9238	28937
242	9271	28882
243	9301	28819
244	9366	28862
245	9444	28949
246	9483	28911
247	9523	28878
248	9565	28850
249	9601	28803
250	9654	28810
251	9714	28834
252	9804	28949
253	9886	29037
254	9953	29078
255	10010	29093
256	10082	29147
257	10144	29175
258	10218	29236
259	10271	29234
260	10359	29331
261	10439	29405
262	10516	29469
263	10584	29507
264	10657	29558
265	10713	29563
266	10788	29618
267	10851	29639
268	10922	29682
269	10972	29667
270	11028	29667
271	11086	29673
272	11118	29608
273	11147	29536
274	11177	29466
275	11219	29432
276	11252	29369
277	11280	29296
278	11309	29227
279	11371	29241
280	11404	29180
281	11433	29110
282	11461	29039
283	11491	28971
284	11519	28900
285	11554	28846
286	11585	28782
287	11617	28720
288	11646	28653
289	11679	28595
290	11710	28531
291	11739	28465
292	11773	28408
293	11804	28346
294	11835	28285
295	11865	28219
296	11894	28153
297	11925	28092
298	11956	28030
299	11986	27968
300	12016	27906
301	12045	27840
302	12074	27774
303	12103	27711
304	12132	27646
305	12161	27581
306	12205	27552
307	12237	27493
308	12268	27434
309	12312	27406
310	12357	27376
311	12395	27332
312	12424	27269
313	12453	27206
314	12480	27140
315	12509	27077
316	12540	27018
317	12569	26956
318	12602	26902
319	12631	26841
320	12661	26781
321	12692	26725
322	12723	26667
323	12752	26607
324	12783	26551
325	12814	26493
326	12844	26435
327	12875	26378
328	12905	26320
329	12937	26267
330	12969	26212
331	13004	26166
332	13033	26106
333	13062	26046
334	13090	25985
335	13119	25927
336	13147	25866
337	13192	25838
338	13220	25778
339	13252	25725
340	13284	25673
341	13340	25666
342	13368	25607
343	13396	25547
344	13437	25511
345	13466	25453
346	13495	25396
347	13525	25340
348	13558	25290
349	13587	25234
350	13617	25179
351	13647	25124
352	13678	25071
353	13709	25017
354	13740	24965
355	13772	24914
356	13803	24861
357	13835	24811
358	13867	24760
359	13898	24708
360	13928	24654
361	13958	24600
362	13988	24547
363	14019	24496
364	14048	24440
365	14079	24388
366	14108	24334
367	14136	24278
368	14178	24245
369	14210	24196
370	14243	24147
371	14271	24093
372	14330	24088
373	14369	24051
374	14399	23998
375	14429	23947
376	14456	23890
377	14485	23835
378	14515	23784
379	14546	23733
380	14577	23683
381	14608	23634
382	14640	23584
383	14671	23534
384	14703	23487
385	14736	23441
386	14767	23391
387	14799	23342
388	14828	23291
389	14859	23242
390	14892	23196
391	14924	23148
392	14954	23097
393	14983	23045
394	15011	22992
395	15040	22940
396	15071	22892
397	15100	22840
398	15129	22789
399	15174	22761
400	15203	22709
401	15237	22666
402	15269	22619
403	15336	22624
404	15364	22573
405	15394	22523
406	15423	22472
407	15488	22473
408	15531	22442
409	15577	22415
410	15623	22389
411	15672	22367
412	15704	22320
413	15766	22317
414	15820	22300
415	15879	22292
416	15957	22309
417	16026	22314
418	16087	22307
419	16177	22339
420	16233	22326
421	16333	22372
422	16414	22390
423	16488	22400
424	16556	22400
425	16627	22404
426	16709	22423
427	16793	22443
428	16854	22433
429	16936	22450
430	17023	22474
431	17074	22449
432	17141	22446
433	17207	22440
434	17236	22387
435	17262	22330
436	17327	22323
437	17355	22269
438	17382	22213
439	17411	22159
440	17441	22108
441	17469	22054
442	17497	22000
443	17528	21949
444	17559	21900
445	17589	21848
446	17620	21799
447	17652	21750
448	17683	21700
449	17717	21654
450	17749	21606
451	17779	21556
452	17808	21504
453	17840	21455
454	17871	21406
455	17903	21358
456	17933	21308
457	17968	21263
458	17998	21214
459	18027	21162
460	18055	21110
461	18084	21059
462	18114	21009
463	18158	20975
464	18185	20923
465	18220	20879
466	18249	20828
467	18305	20809
468	18345	20771
469	18372	20718
470	18401	20667
471	18430	20616
472	18458	20565
473	18487	20515
474	18518	20467
475	18550	20420
476	18580	20371
477	18609	20322
478	18640	20274
479	18670	20226
480	18700	20177
481	18729	20128
482	18761	20082
483	18842	20087
484	18873	20040
485	18904	19993
486	18934	19945
487	18966	19898
488	18997	19852
489	19028	19804
490	19056	19755
491	19085	19705
492	19114	19657
493	19158	19624
494	19190	19578
495	19227	19537
496	19259	19492
497	19320	19475
498	19349	19426
499	19377	19377
500	19406	19328
501	19433	19278
502	19462	19229
503	19491	19182
504	19523	19137
505	19556	19092
506	19587	19046
507	19620	19002
508	19650	18955
509	19679	18907
510	19708	18860
511	19740	18815
512	19770	18768
513	19801	18722
514	19832	18677
515	19865	18633
516	19897	18589
517	19930	18545
518	19962	18500
519	19993	18455
520	20026	18411
521	20053	18363
522	20081	18315
523	20108	18266
524	20155	18236
525	20183	18188
526	20213	18142
527	20241	18094
528	20300	18074
529	20335	18033
530	20363	17986
531	20394	17940
532	20421	17892
533	20450	17846
534	20480	17800
535	20510	17755
536	20539	17709
537	20570	17664
538	20602	17621
539	20633	17576
540	20666	17533
541	20699	17491
542	20729	17446
543	20763	17405
544	20793	17359
545	20823	17314
546	20853	17270
547	20884	17226
548	20916	17182
549	20947	17138
550	20979	17095
551	21009	17051
552	21037	17004
553	21065	16959
554	21094	16913
555	21139	16881
556	21169	16836
557	21201	16794
558	21229	16748
559	21285	16724
560	21322	16685
561	21352	16641
562	21380	16595
563	21409	16550
564	21438	16505
565	21467	16461
566	21498	16418
567	21570	16405
568	21628	16383
569	21684	16358
570	21735	16329
571	21782	16298
572	21835	16271
573	21891	16246
574	21945	16220
575	22004	16197
576	22061	16173
577	22138	16163
578	22219	16155
579	22341	16178
580	22430	16176
581	22500	16160
582	22569	16143
583	22635	16123
584	22709	16110
585	22784	16096
586	22865	16087
587	22940	16073
588	23025	16067
589	23100	16052
590	23162	16029
591	23229	16009
592	23297	15990
593	23337	15951
594	23365	15904
595	23392	15856
596	23421	15810
597	23449	15763
598	23480	15718
599	23510	15673
600	23540	15628
601	23570	15582
602	23599	15537
603	23629	15492
604	23660	15447
605	23689	15402
606	23723	15359
607	23753	15314
608	23786	15272
609	23816	15226
610	23847	15182
611	23877	15138
612	23911	15095
613	23942	15051
614	23973	15007
615	24003	14963
616	24030	14916
617	24059	14871
618	24090	14827
619	24133	14791
620	24166	14749
621	24195	14703
622	24252	14675
623	24282	14631
624	24310	14586
625	24347	14546
626	24377	14502
627	24408	14458
628	24438	14414
629	24467	14369
630	24499	14327
631	24530	14283
632	24559	14239
633	24590	14195
634	24623	14153
635	24654	14110
636	24684	14066
637	24717	14024
638	24747	13980
639	24782	13940
640	24815	13898
641	24846	13855
642	24879	13813
643	24913	13772
644	24942	13728
645	24975	13686
646	25006	13643
647	25035	13599
648	25064	13555
649	25106	13519
650	25134	13474
651	25166	13432
652	25195	13388
653	25262	13365
654	25290	13321
655	25320	13277
656	25348	13233
657	25376	13189
658	25404	13145
659	25432	13101
660	25460	13057
661	25489	13014
662	25519	12971
663	25549	12928
664	25581	12887
665	25612	12844
666	25644	12802
667	25675	12760
668	25708	12719
669	25738	12677
670	25767	12634
671	25797	12591
672	25825	12548
673	25855	12505
674	25884	12462
675	25915	12420
676	25946	12379
677	25976	12336
678	26005	12293
679	26033	12250
680	26060	12207
681	26105	12172
682	26133	12129
683	26166	12088
684	26217	12056
685	26268	12023
686	26297	11981
687	26325	11938
688	26353	11895
689	26380	11851
690	26408	11809
691	26438	11767
692	26469	11726
693	26499	11684
694	26528	11642
695	26559	11600
696	26590	11559
697	26620	11517
698	26650	11476
699	26678	11433
700	26726	11399
701	26756	11358
702	26787	11316
703	26817	11275
704	26846	11233
705	26876	11192
706	26907	11151
707	26937	11109
708	26966	11068
709	26995	11026
710	27024	10984
711	27053	10943
712	27097	10907
713	27125	10865
714	27154	10823
715	27187	10783
716	27239	10751
717	27274	10712
718	27304	10670
719	27332	10629
720	27360	10587
721	27392	10547
722	27422	10506
723	27451	10465
724	27524	10440
725	27573	10406
726	27623	10373
727	27673	10339
728	27727	10307
729	27775	10273
730	27831	10241
731	27885	10209
732	27944	10179
733	28004	10148
734	28053	10114
735	28118	10086
736	28210	10066
737	28289	10043
738	28381	10023
739	28449	9995
740	28513	9966
741	28581	9938
742	28634	9904
743	28688	9871
744	28763	9845
745	28847	9822
746	28924	9796
747	28987	9765
748	29056	9737
749	29131	9710
750	29220	9688
751	29280	9656
752	29347	9626
753	29375	9584
754	29404	9541
755	29431	9499
756	29459	9456
757	29490	9415
758	29521	9373
759	29550	9331
760	29579	9289
761	29607	9247
762	29640	9206
763	29672	9165
764	29701	9123
765	29733	9083
766	29765	9042
767	29797	9001
768	29831	8961
769	29861	8919
770	29890	8878
771	29921	8836
772	29952	8795
773	29981	8754
774	30011	8713
775	30042	8671
776	30087	8635
777	30121	8594
778	30151	8553
779	30207	8520
780	30244	8480
781	30274	8439
782	30301	8397
783	30331	8356
784	30360	8315
785	30389	8273
786	30419	8233
787	30448	8191
788	30480	8151
789	30512	8110
790	30541	8069
791	30574	8029
792	30606	7989
793	30637	7948
794	30667	7907
795	30697	7867
796	30729	7826
797	30757	7785
798	30788	7745
799	30819	7704
800	30851	7664
801	30881	7624
802	30912	7583
803	30943	7543
804	30972	7502
805	31001	7461
806	31031	7421
807	31076	7384
808	31106	7344
809	31135	7303
810	31176	7265
811	31220	7228
812	31250	7187
813	31280	7147
814	31309	7106
815	31337	7066
816	31364	7025
817	31394	6985
818	31427	6945
819	31457	6905
820	31489	6865
821	31521	6825
822	31551	6785
823	31586	6746
824	31615	6706
825	31646	6666
826	31681	6627
827	31713	6587
828	31745	6548
829	31777	6508
830	31812	6469
831	31843	6429
832	31874	6390
833	31905	6350
834	31934	6310
835	31962	6270
836	32008	6233
837	32038	6193
838	32069	6154
839	32098	6114
840	32164	6081
841	32194	6041
842	32223	6001
843	32252	5961
844	32280	5921
845	32309	5881
846	32338	5841
847	32367	5801
848	32397	5762
849	32429	5722
850	32458	5683
851	32488	5643
852	32516	5603
853	32546	5564
854	32578	5525
855	32608	5485
856	32639	5446
857	32670	5407
858	32702	5367
859	32733	5328
860	32764	5289
861	32800	5251
862	32833	5212
863	32865	5173
864	32897	5134
865	32926	5094
866	32956	5055
867	33000	5018
868	33029	4979
869	33061	4940
870	33090	4900
871	33151	4866
872	33182	4827
873	33212	4788
874	33241	4748
875	33270	4709
876	33300	4670
877	33329	4631
878	33371	4593
879	33428	4558
880	33472	4521
881	33512	4483
882	33564	4447
883	33613	4410
884	33653	4373
885	33704	4336
886	33749	4299
887	33790	4261
888	33843	4225
889	33894	4189
890	33943	4152
891	34004	4117
892	34047	4079
893	34146	4048
894	34215	4014
895	34294	3980
896	34386	3948
897	34448	3912
898	34527	3879
899	34594	3843
900	34651	3807
901	34723	3772
902	34798	3738
903	34871	3703
904	34939	3667
905	35020	3633
906	35082	3597
907	35172	3563
908	35249	3528
909	35289	3490
910	35318	3450
911	35348	3410
912	35376	3370
913	35405	3331
914	35434	3291
915	35465	3252
916	35496	3212
917	35526	3173
918	35556	3133
919	35588	3094
920	35618	3055
921	35648	3015
922	35681	2976
923	35710	2937
924	35742	2898
925	35773	2858
926	35803	2819
927	35835	2780
928	35866	2741
929	35894	2701
930	35922	2662
931	35952	2623
932	35996	2584
933	36026	2545
934	36063	2507
935	36121	2469
936	36156	2431
937	36184	2391
938	36212	2352
939	36240	2313
940	36269	2274
941	36298	2234
942	36325	2195
943	36352	2156
944	36384	2117
945	36416	2078
946	36447	2039
947	36477	2000
948	36509	1962
949	36540	1923
950	36570	1884
951	36601	1845
952	36645	1807
953	36676	1768
954	36706	1729
955	36737	1690
956	36773	1652
957	36804	1613
958	36835	1574
959	36867	1536
960	36897	1497
961	36930	1458
962	36986	1421
963	37019	1382
964	37052	1343
965	37107	1306
966	37142	1267
967	37170	1228
968	37198	1190
969	37228	1151
970	37256	1112
971	37285	1074
972	37312	1035
973	37340	996
974	37369	958
975	37402	919
976	37433	881
977	37462	842
978	37491	804
979	37523	765
980	37552	727
981	37583	688
982	37615	650
983	37649	612
984	37679	573
985	37711	535
986	37739	497
987	37771	458
988	37802	420
989	37837	382
990	37867	343
991	37896	305
992	37925	267
993	37969	229
994	37998	190
995	38028	152
996	38056	114
997	38120	76
998	38150	38
999	38179	0
