iter	Logloss
0	0.6553051059
1	0.619910675
2	0.5882359284
3	0.5626645819
4	0.5404046833
5	0.5201425543
6	0.5001723109
7	0.4849844169
8	0.470730441
9	0.4566572205
10	0.4445261296
11	0.4336737469
12	0.4247855081
13	0.4152695167
14	0.4099009952
15	0.404019003
16	0.3990700987
17	0.3926347805
18	0.3865519372
19	0.382538924
20	0.3778787845
21	0.3736857491
22	0.3697188848
23	0.3677238008
24	0.364121019
25	0.3612224015
26	0.3576967093
27	0.3552497462
28	0.3533010104
29	0.3508131668
30	0.349433968
31	0.3478365433
32	0.3459718071
33	0.3443780823
34	0.34338357
35	0.3417359757
36	0.3403885313
37	0.3388097634
38	0.3371437873
39	0.3359390984
40	0.3348424267
41	0.3336974415
42	0.3324295253
43	0.3311379905
44	0.3302932286
45	0.3292984405
46	0.3286817795
47	0.3277038862
48	0.3268136811
49	0.3259885132
50	0.3250514758
51	0.3241318834
52	0.3235200955
53	0.322849166
54	0.3222550158
55	0.321353532
56	0.3207656263
57	0.3202263218
58	0.3196902289
59	0.3189442225
60	0.3184643459
61	0.3180505508
62	0.3176899435
63	0.3168900856
64	0.3163113798
65	0.315898701
66	0.3153032258
67	0.3148283634
68	0.3143119273
69	0.3138344906
70	0.3133433462
71	0.3129231642
72	0.3123168966
73	0.3120037494
74	0.3114542124
75	0.3111407536
76	0.3108066477
77	0.3104749261
78	0.310140669
79	0.3098321772
80	0.3094954617
81	0.3090832405
82	0.3086325312
83	0.3082204465
84	0.3077538591
85	0.3074370942
86	0.3070203826
87	0.3064735978
88	0.306229909
89	0.3059427437
90	0.3056690882
91	0.3053044846
92	0.3050412719
93	0.304735688
94	0.3044874948
95	0.3042510929
96	0.3038671376
97	0.3036616304
98	0.3034663593
99	0.3031485533
100	0.3029119049
101	0.3027503391
102	0.3024928832
103	0.3020735569
104	0.3018678893
105	0.3016717452
106	0.3013606678
107	0.3011277238
108	0.3009518813
109	0.3007492764
110	0.3005089403
111	0.3003213516
112	0.3001139194
113	0.2994830185
114	0.2992974924
115	0.2991050469
116	0.2989369606
117	0.298526376
118	0.2983022434
119	0.2981352384
120	0.2978152563
121	0.2976451208
122	0.2974250968
123	0.2971470757
124	0.296965472
125	0.2965966349
126	0.2962821167
127	0.2961004618
128	0.295957078
129	0.2958006819
130	0.2955217713
131	0.2952458289
132	0.2950963032
133	0.2949022027
134	0.2947401
135	0.2945547317
136	0.2943441991
137	0.2939892166
138	0.2937806631
139	0.2934857086
140	0.2932881587
141	0.2931150594
142	0.2928447556
143	0.292692635
144	0.2925051546
145	0.2923487036
146	0.292201241
147	0.2920823479
148	0.2919686937
149	0.2915079769
150	0.2913097068
151	0.2911766758
152	0.2910790315
153	0.2909065459
154	0.2907872551
155	0.2906034033
156	0.2901373708
157	0.2898209525
158	0.2896049608
159	0.2894980294
160	0.2893608785
161	0.289219956
162	0.2890836102
163	0.288916697
164	0.2882453179
165	0.2881306443
166	0.2879035518
167	0.2877617233
168	0.2876106462
169	0.2875258537
170	0.2874217133
171	0.2872790978
172	0.2871218253
173	0.2869746122
174	0.2868637262
175	0.2866504387
176	0.2864803038
177	0.2862579293
178	0.286083768
179	0.2859434647
180	0.2858152374
181	0.285634394
182	0.2855513858
183	0.2854363269
184	0.2852572469
185	0.2851248332
186	0.2850349108
187	0.2849376122
188	0.2848477947
189	0.2847424601
190	0.2845855541
191	0.2844571767
192	0.2843379429
193	0.2842509482
194	0.2840205357
195	0.2838718048
196	0.2837090391
197	0.2835848645
198	0.2835130886
199	0.2832739421
200	0.2829574094
201	0.2828397098
202	0.2827231301
203	0.2826217821
204	0.2825584339
205	0.2824209992
206	0.2821559797
207	0.2820244155
208	0.2818569731
209	0.2817229979
210	0.2814686194
211	0.2813602076
212	0.281266368
213	0.2811878503
214	0.2809997095
215	0.2808886416
216	0.2807908778
217	0.2807220041
218	0.2806093169
219	0.2805504316
220	0.2804255018
221	0.2802657115
222	0.2798968929
223	0.2797344769
224	0.2796360682
225	0.279556481
226	0.279419659
227	0.2792612588
228	0.2791667144
229	0.2790829259
230	0.2789026285
231	0.2788386436
232	0.2787133724
233	0.2786215685
234	0.2785553169
235	0.2784873586
236	0.2783832717
237	0.2783171691
238	0.2782489389
239	0.2778909333
240	0.2777646804
241	0.2776256228
242	0.2775301384
243	0.277447421
244	0.2773349899
245	0.2772358941
246	0.2771520182
247	0.277077475
248	0.2769903686
249	0.2769209822
250	0.2768596501
251	0.2767430318
252	0.276648481
253	0.2764433316
254	0.2763154787
255	0.2762189698
256	0.2760832048
257	0.2759580244
258	0.275657274
259	0.2754214523
260	0.2753359883
261	0.2751995574
262	0.2750609514
263	0.275002058
264	0.2748850867
265	0.2748100076
266	0.2747132343
267	0.2746212169
268	0.274544084
269	0.2742967653
270	0.2742205811
271	0.2740917301
272	0.2739634428
273	0.2738489129
274	0.2737429672
275	0.273622776
276	0.2733853612
277	0.2732360822
278	0.2731323182
279	0.2730093443
280	0.2728753833
281	0.2728008477
282	0.2727071226
283	0.2726073969
284	0.2725199163
285	0.272419523
286	0.2723316021
287	0.2721950504
288	0.2721370908
289	0.272027873
290	0.2719612596
291	0.2717374462
292	0.2716359725
293	0.2715184965
294	0.2714433615
295	0.2713914984
296	0.2712958604
297	0.2711868529
298	0.2708935921
299	0.2706232002
300	0.2705366709
301	0.2702758255
302	0.2701310456
303	0.2700524473
304	0.2699366619
305	0.2697639946
306	0.2696498024
307	0.2695292433
308	0.2694513281
309	0.2693251419
310	0.2692439997
311	0.2691988535
312	0.2689527406
313	0.2687190843
314	0.2686758775
315	0.2685891052
316	0.2684469471
317	0.2683847565
318	0.2682923502
319	0.2681856478
320	0.2681181805
321	0.2679780292
322	0.2679218134
323	0.2678542182
324	0.2677560421
325	0.267660729
326	0.2675948694
327	0.2675600633
328	0.2674651206
329	0.2673907447
330	0.2673292193
331	0.2672110346
332	0.2671183187
333	0.2670257048
334	0.2669598349
